Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
51,cat,0.0001,7.013143358,0.0001
51,dog,0.6237586803271854,7.256114028,0.0001
51,mouse,0.4964047286733435,6.776846046,0.0001
51,rat,0.604693004907609,6.766463413,0.0001
51,giraffe,0.25819728422956234,5.372025949,0.25
51,lion,0.40956235363967386,6.723957079,0.0001
51,zebra,0.4470930199772558,5.561689192,0.0001
51,rhino,0.3747869101380724,5.286768493,0.0001
51,ostrich,0.47469710031308643,5.653586811,0.0001
51,meerkat,0.4382166284761566,3.812512284,0.0001
51,tiger,0.3799643744418204,6.38952206,0.0001
51,bear,0.45064464147664274,7.366226929,0.0001
51,bat,0.39396388078024236,6.527307346,0.3333
51,aardvark,0.3854464730245315,4.484100445,0.0001
51,elephant,0.49368186357635846,6.363660295,0.0001
51,flea,0.26513026134910445,5.81714343,0.1429
51,ferret,0.31303222381947426,5.531510849,0.2
51,parrot,0.422237073749678,5.921096266,0.8
51,hippopotamus,0.34448836780234016,5.258390618,0.1818
51,alligator,0.45221107472713773,5.714162885,0.1818
51,crocodile,0.7675973151377622,5.741384054,0.0001
51,frog,0.47851867444353036,6.319346573,0.25
51,whale,0.38932073122101407,6.338615042,0.0001
51,shark,0.4783327500163972,6.054603863,0.0001
51,clownfish,0.3935938056543822,3.925672994,0.0001
51,guppy,0.34365415802706756,4.967557336,0.0001
51,goldfish,0.5240979632482895,5.475262847,0.1429
51,snake,0.38915739782343406,6.615078486,0.0001
51,snail,0.3990147547073887,5.853805252,0.75
51,deer,0.38717106345613717,6.706983738,0.0001
51,elk,0.6752106247872667,6.139565841,0.0001
51,buffalo,0.4058060538185363,6.710471006,0.1667
51,monkey,0.2810433368419867,6.401926546,0.1667
51,hyena,0.27237583770614493,5.284998893,0.0001
51,kangaroo,0.39068858024839237,5.566218227,0.0001
71,cheetah,0.0001,5.023964037,0.0001
71,panther,0.5459876317384776,5.886284809,0.0001
71,snake,0.3822072897983182,6.615078486,0.2
71,shark,0.37372093637755766,6.054603863,0.25
71,elephant,0.3630533558362836,6.363660295,0.0001
71,gazelle,0.33602467635689615,5.345203116,0.1429
71,deer,0.3464118307410514,6.706983738,0.0001
71,monkey,0.34369464242657544,6.401926546,0.0001
71,orangutan,0.5673142026648942,4.807399713,0.125
71,mouse,0.26699237034675094,6.776846046,0.0001
71,hamster,0.4731070708833327,5.543432268,0.1667
71,sheep,0.29181778981598705,6.924172871,0.0001
71,horse,0.49180449443660024,7.396710537,0.0001
71,rabbit,0.5810526482920192,6.568628649,0.0001
71,squirrel,0.44196786381669595,6.080840335,0.1667
71,muskrat,0.4555185949350429,5.248135176,0.1429
71,loon,0.34991164922150686,5.501360561,0.0001
71,eagle,0.2671968270208973,6.640854253,0.0001
71,hawk,0.5694965862319972,6.384581525,0.0001
71,raven,0.3764439157660764,6.2387933,0.0001
71,bluebird,0.37400966890454324,5.313242737,0.0001
71,raptor,0.3504570570604484,4.950661748,0.0001
71,fox,0.34139722455991883,6.849727181,0.0001
71,cow,0.32346815144938,6.679047222,0.25
71,fisher,0.26514421359658913,6.604154313,0.0001
71,wolverine,0.21932961921955452,5.156106757,0.1429
71,badger,0.4057174965889474,5.803131956,0.1429
71,tiger,0.31053540135007074,6.38952206,0.25
71,bronco,0.15391054797392656,5.175726298,0.0001
71,hare,0.27070519499501056,6.387898578,0.0001
71,turtle,0.34516202372469484,6.229758099,0.0001
71,crab,0.37771077090473026,6.158116322,0.0001
71,fish,0.4684099419105634,7.344814258,0.0001
71,bluegill,0.43906536956875586,4.713708895,0.1667
71,manta ray,0.3742353168208499,3.930847192,0.0001
71,caribou,0.2695437974647028,5.660478423,0.0001
71,polar bear,0.3880419471967109,5.185295616,0.1429
198,dog,0.0001,7.256114028,0.0001
198,cat,0.6237586803271854,7.013143358,0.0001
198,mouse,0.5705879356787737,6.776846046,0.0001
198,tiger,0.3452886302423851,6.38952206,0.0001
198,lion,0.5287590450389617,6.723957079,0.25
198,bear,0.49098996514110804,7.366226929,0.0001
198,cheetah,0.3205070521027237,5.023964037,0.0001
198,skunk,0.4072971630330111,5.613026358,0.0001
198,raccoon,0.5552248458405785,5.500824927,0.0001
198,hamster,0.2919567241374701,5.543432268,0.0001
198,elephant,0.30875711942677,6.363660295,0.0001
198,hippopotamus,0.528966043018984,5.258390618,0.1818
198,alligator,0.45221107472713773,5.714162885,0.1818
198,crocodile,0.7675973151377622,5.741384054,0.0001
198,boa constrictor,0.41941669265059756,4.605046332,0.1538
198,viper,0.40543877140276074,5.482042773,0.0769
198,rattlesnake,0.5451090955847012,5.648320972,0.0001
198,opossum,0.48759163108547465,5.217673413,0.1111
198,fox,0.29504803274477553,6.849727181,0.1667
198,deer,0.38807029941692894,6.706983738,0.0001
198,bobcat,0.3825410345083139,4.96481099,0.0001
198,bird,0.3119052367519153,7.119400245,0.1667
198,beaver,0.3019088966224557,6.273193014,0.25
198,groundhog,0.4235822199616288,4.796018969,0.0001
198,hyena,0.34296260256852973,5.284998893,0.125
199,dog,0.0001,7.256114028,0.0001
199,cat,0.6237586803271854,7.013143358,0.0001
199,bear,0.44500661711017586,7.366226929,0.0001
199,monkey,0.3907333160148072,6.401926546,0.0001
199,pig,0.4477383362830327,6.611542969,0.0001
199,cow,0.5070622080814298,6.679047222,0.0001
199,horse,0.5537185525655691,7.396710537,0.0001
199,turkey,0.3019254753331755,6.767768346,0.0001
199,giraffe,0.2766518806091789,5.372025949,0.0001
199,elephant,0.5317287522391482,6.363660295,0.1429
199,hippopotamus,0.528966043018984,5.258390618,0.1818
199,tiger,0.354653411749249,6.38952206,0.0909
199,lion,0.5287590450389617,6.723957079,0.25
199,penguin,0.37371053753881944,6.25042049,0.2857
199,mouse,0.3565409984220691,6.776846046,0.0001
199,rat,0.604693004907609,6.766463413,0.0001
199,hamster,0.5229370676564843,5.543432268,0.3333
199,fish,0.44077878822953154,7.344814258,0.0001
199,chicken,0.5026086566727426,6.827585591,0.2
199,rabbit,0.44005631875085705,6.568628649,0.2
199,goose,0.33257768578747715,6.301955793,0.0001
199,turtle,0.32205907542801526,6.229758099,0.0001
199,bird,0.39777920962813096,7.119400245,0.2
199,frog,0.4476808862025792,6.319346573,0.0001
199,wolf,0.431095102816482,6.745548976,0.0001
199,raccoon,0.2944484465495626,5.500824927,0.0001
199,possum,0.6618594347028591,5.440409986,0.0001
199,squirrel,0.5174852476361128,6.080840335,0.1667
199,chipmunk,0.6263275456596579,5.149619342,0.0001
199,ferret,0.4389044175825396,5.531510849,0.0001
199,duck,0.25905194179628666,6.439638803,0.0001
199,swan,0.4856164957711092,6.23145965,0.0001
199,shark,0.3914397035612449,6.054603863,0.0001
199,dolphin,0.4062871616893997,5.864843201,0.1667
199,whale,0.46004639651941837,6.338615042,0.1667
199,mountain lion,0.29462727798375465,5.028693228,0.0909
199,gerbil,0.2511482253151539,4.725674828,0.0909
199,gorilla,0.38867237916255093,5.657093158,0.1667
199,chimpanzee,0.6267826283362625,5.578696501,0.0001
199,snake,0.3144684836404166,6.615078486,0.125
285,deer,0.0001,6.706983738,0.0001
285,squirrel,0.44134053979858234,6.080840335,0.0001
285,rabbit,0.44196786381669595,6.568628649,0.1667
285,elk,0.3633169955748232,6.139565841,0.0001
285,moose,0.6036219686398253,5.977754233,0.0001
285,mule deer,0.3865671840406051,4.985022082,0.2857
285,white tailed deer,0.6280768583736029,3.09482038,0.3636
285,blacktail deer,0.7144399430419218,3.727215821,0.3636
285,grizzly,0.3999872523278494,5.735626042,0.1
285,bear,0.6903266550255036,7.366226929,0.0001
285,bear,0.9999999999999998,7.366226929,1.0
285,bear,0.9999999999999998,7.366226929,1.0
285,mountain goat,0.3163410613150004,4.730265335,0.0001
285,billy goat,0.5751921665340486,4.54174145,0.3333
285,wolf,0.36033917936705606,6.745548976,0.1429
285,fox,0.5029350485584508,6.849727181,0.0001
285,coyote,0.4381869926393799,6.007340169,0.0001
285,dog,0.3843425405029399,7.256114028,0.0001
285,cat,0.6237586803271854,7.013143358,0.0001
285,rat,0.5271154772566445,6.766463413,0.6667
285,mouse,0.604693004907609,6.776846046,0.0001
285,bird,0.44358261779791075,7.119400245,0.0001
285,cardinal,0.5083955240321234,6.704668529,0.125
285,blue jay,0.34794468786816024,4.926872127,0.0001
285,robin,0.42714173830774205,6.526197074,0.0001
285,blackbird,0.3995569526246292,5.486899235,0.1429
285,crow,0.43401016421277816,6.398037974,0.1429
285,turkey,0.3493406232669398,6.767768346,0.0001
285,vulture,0.27031479975238015,5.633869236,0.0001
285,eagle,0.44240607747161664,6.640854253,0.0001
285,hawk,0.5694965862319972,6.384581525,0.0001
285,mountain lion,0.3059754205572829,5.028693228,0.0001
285,elephant,0.3490791266148099,6.363660295,0.1818
285,giraffe,0.5317287522391482,5.372025949,0.1429
285,lion,0.40956235363967386,6.723957079,0.0001
285,tiger,0.5287590450389617,6.38952206,0.25
285,zebra,0.36130583299693253,5.561689192,0.0001
285,antelope,0.4990129159075124,5.845170623,0.0001
286,dog,0.0001,7.256114028,0.0001
286,cat,0.6237586803271854,7.013143358,0.0001
286,horse,0.541054219758753,7.396710537,0.0001
286,cow,0.5537185525655691,6.679047222,0.0001
286,pig,0.5070622080814298,6.611542969,0.0001
286,dolphin,0.3297974844334959,5.864843201,0.0001
286,mouse,0.30528570116810627,6.776846046,0.0001
286,gerbil,0.46922446172342847,4.725674828,0.0001
286,chicken,0.29432710684516117,6.827585591,0.0001
286,goose,0.39709863681062385,6.301955793,0.0001
286,potbellied pig,0.2978878448789606,3.218272854,0.0001
286,hamster,0.40215896366031845,5.543432268,0.0001
286,ferret,0.4955654164702621,5.531510849,0.1667
286,raccoon,0.451700307735007,5.500824927,0.0001
286,skunk,0.5552248458405785,5.613026358,0.0001
286,squirrel,0.3904972656768688,6.080840335,0.3333
286,polar bear,0.3786765057033309,5.185295616,0.0001
286,grizzly,0.6055165756495863,5.735626042,0.0001
286,penguin,0.3154684423451519,6.25042049,0.0001
286,seal,0.3841707100723044,6.788763103,0.0001
286,monkey,0.24494231221193363,6.401926546,0.0001
286,giraffe,0.3287268729278534,5.372025949,0.0001
286,buffalo,0.3270857384056475,6.710471006,0.0001
286,bison,0.6490123671777277,5.778133878,0.3333
286,lion,0.3071955076421118,6.723957079,0.6
286,tiger,0.5287590450389617,6.38952206,0.25
286,cheetah,0.47109658519553066,5.023964037,0.0001
