SID,entry,evaluation,replacement
10201,cat,FOUND,cat
10201,rabbit,FOUND,rabbit
10201,monkey,FOUND,monkey
10201,orangutan,FOUND,orangutan
10201,gorilla,FOUND,gorilla
10201,chimpanzee,FOUND,chimpanzee
10201,pig,FOUND,pig
10201,hog,FOUND,hog
10201,sheep,FOUND,sheep
10201,goat,FOUND,goat
10201,horse,FOUND,horse
10201,mayerclidesdale,EXCLUDE,EXCLUDE
10201,germanshepherd,REPLACE,german shepherd
10201,chicken,FOUND,chicken
10201,kangaroo,FOUND,kangaroo
10201,frog,FOUND,frog
10201,toad,FOUND,toad
10508,animal,EXCLUDE,EXCLUDE
10508,tiger,FOUND,tiger
10508,lion,FOUND,lion
10508,bear,FOUND,bear
10508,zebra,FOUND,zebra
10508,sheep,FOUND,sheep
10508,coyote,FOUND,coyote
10508,snake,FOUND,snake
10508,pelican,FOUND,pelican
10508,fish,FOUND,fish
10508,animalsinthesea,EXCLUDE,EXCLUDE
10508,bird,FOUND,bird
10508,bugsintheground,EXCLUDE,EXCLUDE
10508,cat,FOUND,cat
10508,squirrel,FOUND,squirrel
10547,snake,FOUND,snake
10547,dog,FOUND,dog
10547,cat,FOUND,cat
10547,mouse,FOUND,mouse
10547,hamster,FOUND,hamster
10547,gunneapig,REPLACE,guinea pig
10547,goldfish,FOUND,goldfish
10547,parrakeet,REPLACE,parakeet
10547,parrot,FOUND,parrot
10547,iguana,FOUND,iguana
10547,horse,FOUND,horse
10547,hog,FOUND,hog
10547,sheep,FOUND,sheep
10547,chicken,FOUND,chicken
10547,duck,FOUND,duck
10547,rabbit,FOUND,rabbit
10547,monkey,FOUND,monkey
10547,snake,FOUND,snake
10716,elephant,FOUND,elephant
10716,rhinoceros,FOUND,rhinoceros
10716,giraffe,FOUND,giraffe
10716,kangaroo,FOUND,kangaroo
10716,lion,FOUND,lion
10716,tiger,FOUND,tiger
10716,wildebeast,REPLACE,wildebeest
10716,zebra,FOUND,zebra
10716,horse,FOUND,horse
10716,dog,FOUND,dog
10716,cat,FOUND,cat
10716,parrot,FOUND,parrot
10716,dolphin,FOUND,dolphin
10716,shark,FOUND,shark
10716,donkey,FOUND,donkey
10716,cow,FOUND,cow
10716,sheep,FOUND,sheep
10716,chicken,FOUND,chicken
10716,rooster,FOUND,rooster
10716,hen,FOUND,hen
10716,duck,FOUND,duck
10716,buffalo,FOUND,buffalo
10716,sheep,FOUND,sheep
10716,lamb,FOUND,lamb
10716,pig,FOUND,pig
10716,turkey,FOUND,turkey
10716,quail,FOUND,quail
10716,pigeon,FOUND,pigeon
10716,squirrel,FOUND,squirrel
10716,rabbit,FOUND,rabbit
10716,possum,FOUND,possum
10879,dog,FOUND,dog
10879,cat,FOUND,cat
10879,porcupine,FOUND,porcupine
10879,skunk,FOUND,skunk
10879,cow,FOUND,cow
10879,pig,FOUND,pig
10879,chicken,FOUND,chicken
10879,sharpei,REPLACE,shar pei
10879,labrador,FOUND,labrador
10879,goldenretriever,REPLACE,golden retriever
10879,chihuahua,FOUND,chihuahua
10879,siamese,EXCLUDE,EXCLUDE
10879,pug,FOUND,pug
10879,horse,FOUND,horse
10879,bird,FOUND,bird
10879,lion,FOUND,lion
10879,tiger,FOUND,tiger
10879,bear,FOUND,bear
10879,elephant,FOUND,elephant
10879,giraffe,FOUND,giraffe
10879,zebra,FOUND,zebra
10879,turtle,FOUND,turtle
10879,fish,FOUND,fish
10879,bluegillbass,EXCLUDE,EXCLUDE
10879,pike,FOUND,pike
10879,croppy,EXCLUDE,EXCLUDE
10879,holstein,FOUND,holstein
10879,herfered,EXCLUDE,EXCLUDE
10879,angus,REPLACE,langur
10879,dolphin,FOUND,dolphin
10879,shark,FOUND,shark
10880,dog,FOUND,dog
10880,cat,FOUND,cat
10880,bird,FOUND,bird
10880,monkey,FOUND,monkey
10880,chimp,FOUND,chimp
10880,aligator,REPLACE,alligator
10880,elephant,FOUND,elephant
10880,giraffe,FOUND,giraffe
10880,bear,FOUND,bear
10880,duck,FOUND,duck
10880,penguin,FOUND,penguin
10880,lion,FOUND,lion
10880,lioness,FOUND,lioness
10880,camel,FOUND,camel
10888,elephant,FOUND,elephant
10888,lion,FOUND,lion
10888,tiger,FOUND,tiger
10888,bear,FOUND,bear
10888,deer,FOUND,deer
10888,zebra,FOUND,zebra
10888,racoon,FOUND,racoon
10888,catfish,FOUND,catfish
10888,crab,FOUND,crab
10888,beaver,FOUND,beaver
10888,deer,FOUND,deer
10888,tuna,FOUND,tuna
10888,salmon,FOUND,salmon
10888,dog,FOUND,dog
10888,cat,FOUND,cat
10888,penguin,FOUND,penguin
10888,parrot,FOUND,parrot
10888,piranha,FOUND,piranha
10888,anaconda,FOUND,anaconda
10888,boa,FOUND,boa
10888,copper,EXCLUDE,EXCLUDE
10888,rattlesnake,FOUND,rattlesnake
10888,elephant,FOUND,elephant
10311,ant,FOUND,ant
10311,aardvark,FOUND,aardvark
10311,bee,FOUND,bee
10311,bird,FOUND,bird
10311,cardinal,FOUND,cardinal
10311,dog,FOUND,dog
10311,cat,FOUND,cat
10311,horse,FOUND,horse
10311,elephant,FOUND,elephant
10311,giraffe,FOUND,giraffe
10311,wolf,FOUND,wolf
10311,coyote,FOUND,coyote
10311,rabbit,FOUND,rabbit
10311,fox,FOUND,fox
10311,hare,FOUND,hare
10311,rhinoceros,FOUND,rhinoceros
10311,manatee,FOUND,manatee
10311,shihtzu,REPLACE,shih tzu
10311,monkey,FOUND,monkey
10311,gorilla,FOUND,gorilla
10311,lion,FOUND,lion
10311,cheetah,FOUND,cheetah
10311,tiger,FOUND,tiger
10311,mouse,FOUND,mouse
10311,shrew,FOUND,shrew
10311,goldenretriever,REPLACE,golden retriever
10311,tamandua,EXCLUDE,EXCLUDE
10311,poodle,FOUND,poodle
10311,siamese,EXCLUDE,EXCLUDE
10311,mainecoon,EXCLUDE,EXCLUDE
10311,man,FOUND,man
10311,woman,FOUND,woman
1,cat,FOUND,cat
1,dog,FOUND,dog
1,bird,FOUND,bird
1,parrot,FOUND,parrot
1,hampster,REPLACE,hamster
1,gerbil,FOUND,gerbil
1,goose,FOUND,goose
1,girrafe,REPLACE,giraffe
1,zebra,FOUND,zebra
1,elephant,FOUND,elephant
1,lion,FOUND,lion
1,hippo,FOUND,hippo
1,ostrich,FOUND,ostrich
1,rhinoceros,FOUND,rhinoceros
1,tiger,FOUND,tiger
1,cougar,FOUND,cougar
1,puma,FOUND,puma
1,leapord,REPLACE,leopard
1,horse,FOUND,horse
1,squirrel,FOUND,squirrel
1,rabbit,FOUND,rabbit
1,chipmunk,FOUND,chipmunk
1,fish,FOUND,fish
1,shark,FOUND,shark
1,dolphin,FOUND,dolphin
1,whale,FOUND,whale
1,anemone,FOUND,anemone
2,zebra,FOUND,zebra
2,dog,FOUND,dog
2,cat,FOUND,cat
2,walrus,FOUND,walrus
2,octopus,FOUND,octopus
2,mouse,FOUND,mouse
2,rat,FOUND,rat
2,platypus,FOUND,platypus
2,giraffe,FOUND,giraffe
2,lion,FOUND,lion
2,tiger,FOUND,tiger
2,monkey,FOUND,monkey
2,parrot,FOUND,parrot
2,bird,FOUND,bird
2,centipede,FOUND,centipede
2,butterfly,FOUND,butterfly
2,elephant,FOUND,elephant
2,panther,FOUND,panther
2,crow,FOUND,crow
3,cat,FOUND,cat
3,dog,FOUND,dog
3,mouse,FOUND,mouse
3,hamster,FOUND,hamster
3,fish,FOUND,fish
3,giraffe,FOUND,giraffe
3,elephant,FOUND,elephant
3,horse,FOUND,horse
3,deer,FOUND,deer
3,camel,FOUND,camel
3,whale,FOUND,whale
3,dolphin,FOUND,dolphin
3,shark,FOUND,shark
3,guineapig,REPLACE,guinea pig
3,gecko,FOUND,gecko
3,snake,FOUND,snake
3,iguana,FOUND,iguana
3,lizard,FOUND,lizard
3,bird,FOUND,bird
3,swan,FOUND,swan
3,duck,FOUND,duck
3,lion,FOUND,lion
3,tiger,FOUND,tiger
3,bear,FOUND,bear
4,cat,FOUND,cat
4,dog,FOUND,dog
4,kangaroo,FOUND,kangaroo
4,platypus,FOUND,platypus
4,mountainlion,REPLACE,mountain lion
4,lion,FOUND,lion
4,giraffe,FOUND,giraffe
4,monkey,FOUND,monkey
4,ape,FOUND,ape
4,orangutan,FOUND,orangutan
4,warthog,FOUND,warthog
4,pig,FOUND,pig
4,rat,FOUND,rat
4,mouse,FOUND,mouse
4,guineapig,REPLACE,guinea pig
4,boaconstrictor,REPLACE,boa constrictor
10728,antelope,FOUND,antelope
10728,dog,FOUND,dog
10728,cat,FOUND,cat
10728,bird,FOUND,bird
10728,elephant,FOUND,elephant
10728,ferret,FOUND,ferret
10728,giraffe,FOUND,giraffe
10728,hippopotamus,FOUND,hippopotamus
10728,iguana,FOUND,iguana
10728,kangaroo,FOUND,kangaroo
10728,llama,FOUND,llama
10728,monkey,FOUND,monkey
10728,penguin,FOUND,penguin
10728,quail,FOUND,quail
10728,rabbit,FOUND,rabbit
10728,snake,FOUND,snake
10728,turtle,FOUND,turtle
10728,walrus,FOUND,walrus
10728,zebra,FOUND,zebra
10728,bear,FOUND,bear
10728,goat,FOUND,goat
10728,sheep,FOUND,sheep
10730,dog,FOUND,dog
10730,cat,FOUND,cat
10730,parrot,FOUND,parrot
10730,monkey,FOUND,monkey
10730,dolphin,FOUND,dolphin
10730,whale,FOUND,whale
10730,fish,FOUND,fish
10730,snake,FOUND,snake
10730,lizard,FOUND,lizard
10730,lion,FOUND,lion
10730,tiger,FOUND,tiger
10730,bear,FOUND,bear
10730,sloth,FOUND,sloth
10730,antelope,FOUND,antelope
10730,zebra,FOUND,zebra
10730,giraffe,FOUND,giraffe
10730,elephant,FOUND,elephant
10730,rhinoceros,FOUND,rhinoceros
10730,hippopotamus,FOUND,hippopotamus
10730,kolabear,REPLACE,koala bear
10730,pandabear,REPLACE,panda bear
10730,snowleapord,EXCLUDE,EXCLUDE
10730,shark,FOUND,shark
