Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
1,forage_dynamic_simdrop,7.923879671884917,4.551746413340121,,150.17566083146602
1,forage_dynamic_multimodal_alpha=0.0,7.87590805179519,3.8762233356451734,,153.61938582089957
1,forage_dynamic_multimodal_alpha=0.1,8.313332267010477,4.449536786357039,,150.0490418226787
1,forage_dynamic_multimodal_alpha=0.2,8.313339735307196,4.44953889908477,,150.04904182265918
1,forage_dynamic_multimodal_alpha=0.30000000000000004,8.313328559727045,4.449536684187478,,150.04904182269627
1,forage_dynamic_multimodal_alpha=0.4,8.1533576210817,4.416233361385474,,148.9992648240978
1,forage_dynamic_multimodal_alpha=0.5,7.975328878153143,4.504967837096034,,148.76544376881623
1,forage_dynamic_multimodal_alpha=0.6000000000000001,7.973699749434591,4.5389502933131,,149.35580480408785
1,forage_dynamic_multimodal_alpha=0.7000000000000001,7.973688368700226,4.538948058503346,,149.35580480412648
1,forage_dynamic_multimodal_alpha=0.8,7.923894462365044,4.551744096871268,,150.17566083143277
1,forage_dynamic_multimodal_alpha=0.9,7.923885030482662,4.551742938426944,,150.17566083143342
1,forage_dynamic_multimodal_alpha=1.0,7.923890921248603,4.551744781935305,,150.17566083142725
1,forage_dynamic_norms_associative,7.969810774192638,4.6105878520749375,,149.17653220969015
1,forage_dynamic_norms_categorical,8.107877876513955,4.712613460232357,,149.35443957170708
1,forage_dynamic_delta_rise=0.0_fall=0.0,7.905391669787903,4.794500591012785,,152.72352322163022
1,forage_dynamic_delta_rise=0.0_fall=0.25,7.966318724139442,4.9080718043038996,,149.95459779628104
1,forage_dynamic_delta_rise=0.0_fall=0.5,7.937704229732647,4.760972546239289,,149.0109560233034
1,forage_dynamic_delta_rise=0.0_fall=0.75,7.937703438808425,4.760976974172252,,149.01095602330912
1,forage_dynamic_delta_rise=0.0_fall=1.0,7.858955531934468,4.642466737645951,,148.88774625621835
1,forage_dynamic_delta_rise=0.25_fall=0.0,7.960126454952368,4.874993581148542,,153.5536006970119
1,forage_dynamic_delta_rise=0.25_fall=0.25,8.02583514962449,4.992555420652103,,150.75781162553147
1,forage_dynamic_delta_rise=0.25_fall=0.5,7.9965634988191185,4.8242488853412535,,149.84777882715773
1,forage_dynamic_delta_rise=0.25_fall=0.75,7.996559029346357,4.8242442952772775,,149.8477788271524
1,forage_dynamic_delta_rise=0.25_fall=1.0,7.915681675000062,4.692642851725779,,149.749278954923
1,forage_dynamic_delta_rise=0.5_fall=0.0,7.859268770476103,4.8965022309700705,,156.7364420410859
1,forage_dynamic_delta_rise=0.5_fall=0.25,7.91504039740645,5.03633425354966,,153.9358930117162
1,forage_dynamic_delta_rise=0.5_fall=0.5,7.892138189539828,4.830606034036457,,153.0345121529757
1,forage_dynamic_delta_rise=0.5_fall=0.75,7.89212731422208,4.830604907581838,,153.03451215299668
1,forage_dynamic_delta_rise=0.5_fall=1.0,7.893346394354639,4.70086732184136,,151.433993631909
1,forage_dynamic_delta_rise=0.75_fall=0.0,7.859263218395818,4.896502403117468,,156.73644204107012
1,forage_dynamic_delta_rise=0.75_fall=0.25,7.915032661403625,5.036333210066065,,153.9358930116932
1,forage_dynamic_delta_rise=0.75_fall=0.5,7.892132445393875,4.83060602701357,,153.03451215297912
1,forage_dynamic_delta_rise=0.75_fall=0.75,7.8921323041666085,4.830606718386079,,153.03451215298355
1,forage_dynamic_delta_rise=0.75_fall=1.0,7.893325796265812,4.70086838914708,,151.4339936318968
1,forage_dynamic_delta_rise=1.0_fall=0.0,7.953646299799829,4.8036206614149926,,161.67012839300324
1,forage_dynamic_delta_rise=1.0_fall=0.25,8.013202382043879,5.004172908316842,,158.88281277047625
1,forage_dynamic_delta_rise=1.0_fall=0.5,7.954919178445328,4.750491598405142,,156.65898279404425
1,forage_dynamic_delta_rise=1.0_fall=0.75,7.954918092692856,4.750492075899319,,156.65898279404396
1,forage_dynamic_delta_rise=1.0_fall=1.0,8.021503560012734,4.693937049902755,,152.99238414740134
1,forage_random_baseline,0.0,0.0,,205.8251328488764
2,forage_dynamic_simdrop,8.668898804551132,4.4862311552609695,,104.68598010491758
2,forage_dynamic_multimodal_alpha=0.0,8.419411500301528,3.3317303189752603,,110.19734775537532
2,forage_dynamic_multimodal_alpha=0.1,8.72178380158679,3.6092119984386986,,110.57150109592902
2,forage_dynamic_multimodal_alpha=0.2,8.72178616397029,3.6092096029663354,,110.57150109592368
2,forage_dynamic_multimodal_alpha=0.30000000000000004,8.850713738143936,4.142367866399896,,108.04828234354609
2,forage_dynamic_multimodal_alpha=0.4,8.558256098662087,4.36957639979772,,105.86519303417617
2,forage_dynamic_multimodal_alpha=0.5,8.558253718640033,4.369575293301051,,105.86519303416985
2,forage_dynamic_multimodal_alpha=0.6000000000000001,8.69654108816114,4.620948379341085,,105.03516386904565
2,forage_dynamic_multimodal_alpha=0.7000000000000001,8.668895160740192,4.4862310401778585,,104.68598010491968
2,forage_dynamic_multimodal_alpha=0.8,8.66889600383632,4.486231820984248,,104.68598010491974
2,forage_dynamic_multimodal_alpha=0.9,8.668903116129968,4.486229986613718,,104.68598010492245
2,forage_dynamic_multimodal_alpha=1.0,8.668895554292167,4.486230291291061,,104.6859801049193
2,forage_dynamic_norms_associative,8.526461212779761,4.817680371113023,,105.42074150894503
2,forage_dynamic_norms_categorical,8.52646572333602,4.81768021122888,,105.42074150894561
2,forage_dynamic_delta_rise=0.0_fall=0.0,8.621578632383509,4.700720915368839,,106.52324103484642
2,forage_dynamic_delta_rise=0.0_fall=0.25,8.6635132165032,4.682829427778216,,103.91128640436956
2,forage_dynamic_delta_rise=0.0_fall=0.5,8.561414736634529,4.599293925735394,,103.12949993595258
2,forage_dynamic_delta_rise=0.0_fall=0.75,8.56141535819486,4.599294024810929,,103.12949993595325
2,forage_dynamic_delta_rise=0.0_fall=1.0,8.586834279867473,4.534055921134385,,102.76780888443457
2,forage_dynamic_delta_rise=0.25_fall=0.0,8.62158255670916,4.700722511963852,,106.52324103484851
2,forage_dynamic_delta_rise=0.25_fall=0.25,8.663519357528488,4.682826405808661,,103.91128640436645
2,forage_dynamic_delta_rise=0.25_fall=0.5,8.56141486894276,4.599293363889346,,103.1294999359502
2,forage_dynamic_delta_rise=0.25_fall=0.75,8.561408494800077,4.599293259856845,,103.12949993595674
2,forage_dynamic_delta_rise=0.25_fall=1.0,8.58682310372546,4.53405702368263,,102.76780888441884
2,forage_dynamic_delta_rise=0.5_fall=0.0,8.62157605730826,4.700723928763368,,106.52324103484312
2,forage_dynamic_delta_rise=0.5_fall=0.25,8.66351367019842,4.682827629050346,,103.9112864043636
2,forage_dynamic_delta_rise=0.5_fall=0.5,8.561417278986077,4.599294055452433,,103.12949993595497
2,forage_dynamic_delta_rise=0.5_fall=0.75,8.561415314375703,4.599295588446756,,103.12949993596366
2,forage_dynamic_delta_rise=0.5_fall=1.0,8.58682636074486,4.534056628388795,,102.76780888441778
2,forage_dynamic_delta_rise=0.75_fall=0.0,8.469186137308597,4.655709146092646,,107.72873057141592
2,forage_dynamic_delta_rise=0.75_fall=0.25,8.397417631994895,4.65526086849132,,106.15183822508824
2,forage_dynamic_delta_rise=0.75_fall=0.5,8.304391922889536,4.565793308839798,,105.35382988825108
