Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
1,cat,0.0001,7.013143358,0.0001
1,dog,0.6237586803271854,7.256114028,0.0001
1,bird,0.4898540016159556,7.119400245,0.0001
1,parrot,0.5972170068245315,5.921096266,0.0001
1,hamster,0.42847207203258386,5.543432268,0.1667
1,gerbil,0.6225326693204579,4.725674828,0.0001
1,goose,0.14437724454666312,6.301955793,0.0001
1,giraffe,0.3485371986587351,5.372025949,0.0001
1,zebra,0.4528724642914068,5.561689192,0.0001
1,elephant,0.39864544151135384,6.363660295,0.1429
1,lion,0.5054773353611788,6.723957079,0.4286
1,hippo,0.3957305221026606,5.321687476,0.0001
1,ostrich,0.4503267872010399,5.653586811,0.0001
1,rhinoceros,0.5623823604289261,5.506841784,0.0001
1,tiger,0.4277121686055616,6.38952206,0.125
1,cougar,0.43944842503639214,5.313217401,0.5
1,puma,0.591606507346897,5.219539994,0.25
1,leopard,0.5658601613957942,5.875985616,0.0001
1,horse,0.3765376871806987,7.396710537,0.0001
1,squirrel,0.3187371557193136,6.080840335,0.0001
1,rabbit,0.44196786381669595,6.568628649,0.1667
1,chipmunk,0.4066447621434879,5.149619342,0.0001
1,fish,0.25291886614609593,7.344814258,0.1429
1,shark,0.5343008512980209,6.054603863,0.0001
1,dolphin,0.4062871616893997,5.864843201,0.1667
1,whale,0.46004639651941837,6.338615042,0.1667
1,anemone,0.3070724358645849,5.364160612,0.0001
2,zebra,0.0001,5.561689192,0.0001
2,dog,0.3251493489923205,7.256114028,0.0001
2,cat,0.6237586803271854,7.013143358,0.0001
2,walrus,0.2975627586964962,5.417803723,0.0001
2,octopus,0.5165760484410578,5.564172321,0.1429
2,mouse,0.3142411527979678,6.776846046,0.1429
2,rat,0.604693004907609,6.766463413,0.0001
2,platypus,0.3343678916290812,4.736667354,0.25
2,giraffe,0.4179297963532609,5.372025949,0.125
2,lion,0.40956235363967386,6.723957079,0.0001
2,tiger,0.5287590450389617,6.38952206,0.25
2,monkey,0.514338438793059,6.401926546,0.0001
2,parrot,0.4621355719986653,5.921096266,0.0001
2,bird,0.5972170068245315,7.119400245,0.0001
2,centipede,0.2148063225368091,4.986283438,0.125
2,butterfly,0.3308482242820472,6.225709011,0.125
2,elephant,0.3876420491160334,6.363660295,0.0001
2,panther,0.5041779836062803,5.886284809,0.0001
2,crow,0.38998777347161206,6.398037974,0.0001
3,cat,0.0001,7.013143358,0.0001
3,dog,0.6237586803271854,7.256114028,0.0001
3,mouse,0.4964047286733435,6.776846046,0.0001
3,hamster,0.4731070708833327,5.543432268,0.1667
3,fish,0.44077878822953154,7.344814258,0.0001
3,giraffe,0.32246638644101244,5.372025949,0.0001
3,elephant,0.5317287522391482,6.363660295,0.1429
3,horse,0.4767429861879181,7.396710537,0.0001
3,deer,0.4802334038984144,6.706983738,0.25
3,camel,0.3757307581087439,6.123051541,0.0001
3,whale,0.43423366777550587,6.338615042,0.2
3,dolphin,0.46004639651941837,5.864843201,0.1667
3,shark,0.4062871616893997,6.054603863,0.1667
3,guinea pig,0.339878666139352,5.672205032,0.0001
