Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
1,forage_dynamic_simdrop,7.923885720228083,4.5517430780573385,,150.17566083143117
1,forage_dynamic_multimodal_alpha=0.0,7.875906741016489,3.876223045868642,,153.61938582090158
1,forage_dynamic_multimodal_alpha=0.1,8.313331797087546,4.449541614275356,,150.04904182268106
1,forage_dynamic_multimodal_alpha=0.2,8.313344398621053,4.449539709142975,,150.0490418226694
1,forage_dynamic_multimodal_alpha=0.30000000000000004,8.313336713790193,4.449539529829393,,150.04904182265926
1,forage_dynamic_multimodal_alpha=0.4,8.153364100174686,4.416234154767759,,148.9992648240793
1,forage_dynamic_multimodal_alpha=0.5,7.975340251679447,4.504968002224288,,148.76544376878115
1,forage_dynamic_multimodal_alpha=0.6000000000000001,7.973691187909307,4.538952313012464,,149.35580480410388
1,forage_dynamic_multimodal_alpha=0.7000000000000001,7.973696932013101,4.538951387090928,,149.3558048040874
1,forage_dynamic_multimodal_alpha=0.8,7.923889876069514,4.551741685642319,,150.1756608314327
1,forage_dynamic_multimodal_alpha=0.9,7.923883192718226,4.551743657156286,,150.17566083143845
1,forage_dynamic_multimodal_alpha=1.0,7.92389203109603,4.551745290382199,,150.17566083143055
1,forage_dynamic_norms_associative,7.969810574855551,4.610588208007433,,149.1765322096901
1,forage_dynamic_norms_categorical,8.107881558617104,4.7126147050324,,149.35443957168056
1,forage_dynamic_delta_rise=0.0_fall=0.0,7.905387740122665,4.794499131708315,,152.72352322161936
1,forage_dynamic_delta_rise=0.0_fall=0.25,7.966315371468968,4.908072340896179,,149.9545977962793
1,forage_dynamic_delta_rise=0.0_fall=0.5,7.937717808167928,4.760973871379798,,149.0109560233012
1,forage_dynamic_delta_rise=0.0_fall=0.75,7.937711205630484,4.760973977471037,,149.01095602328508
1,forage_dynamic_delta_rise=0.0_fall=1.0,7.85896831784874,4.642463946328802,,148.88774625616244
1,forage_dynamic_delta_rise=0.25_fall=0.0,7.960128057363362,4.874995483978745,,153.55360069701
1,forage_dynamic_delta_rise=0.25_fall=0.25,8.025832926086673,4.992555840123794,,150.7578116255341
1,forage_dynamic_delta_rise=0.25_fall=0.5,7.996570103109126,4.824245264506766,,149.8477788271554
1,forage_dynamic_delta_rise=0.25_fall=0.75,7.996558277271997,4.824244214340329,,149.8477788271551
1,forage_dynamic_delta_rise=0.25_fall=1.0,7.915672675156339,4.692644739027184,,149.7492789549757
1,forage_dynamic_delta_rise=0.5_fall=0.0,7.859261272663605,4.896503538485818,,156.73644204107032
1,forage_dynamic_delta_rise=0.5_fall=0.25,7.91503265654288,5.036334590379532,,153.93589301169334
1,forage_dynamic_delta_rise=0.5_fall=0.5,7.892142753609437,4.830607416747488,,153.03451215299822
1,forage_dynamic_delta_rise=0.5_fall=0.75,7.892130943261368,4.8306060682595575,,153.03451215298384
1,forage_dynamic_delta_rise=0.5_fall=1.0,7.8933359561043455,4.700866877960373,,151.43399363187038
1,forage_dynamic_delta_rise=0.75_fall=0.0,7.8592718786764735,4.896506248399116,,156.73644204111832
1,forage_dynamic_delta_rise=0.75_fall=0.25,7.9150340290949,5.036334122579283,,153.93589301169402
1,forage_dynamic_delta_rise=0.75_fall=0.5,7.892132450769486,4.830607020305757,,153.03451215298531
1,forage_dynamic_delta_rise=0.75_fall=0.75,7.892130247278895,4.830608629350674,,153.03451215300723
